Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0019-72;AVENIDA LINDOLFO MONTEIRO;990;;FATIMA;64049-440;ETANOL;30/03/2026;5,19;;R$ / litro;VIBRA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0020-06;AVENIDA DEPUTADO PAULO FERRAZ;2907;;SAO RAIMUNDO;64075-005;GASOLINA;31/03/2026;6,69;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0020-06;AVENIDA DEPUTADO PAULO FERRAZ;2907;;SAO RAIMUNDO;64075-005;GASOLINA ADITIVADA;31/03/2026;6,99;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0020-06;AVENIDA DEPUTADO PAULO FERRAZ;2907;;SAO RAIMUNDO;64075-005;DIESEL;31/03/2026;7,59;;R$ / litro;IPIRANGA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0020-06;AVENIDA DEPUTADO PAULO FERRAZ;2907;;SAO RAIMUNDO;64075-005;ETANOL;31/03/2026;4,99;;R$ / litro;IPIRANGA
NE;PI;TERESINA;COMPANHIA BRASILEIRA DE DISTRIBUICAO; 47.508.411/1563-26;AVENIDA PRESIDENTE KENNEDY;501;PARTE II;SAO CRISTOVAO;64052-345;GASOLINA;30/03/2026;6,59;;R$ / litro;IPIRANGA
NE;PI;TERESINA;COMPANHIA BRASILEIRA DE DISTRIBUICAO; 47.508.411/1563-26;AVENIDA PRESIDENTE KENNEDY;501;PARTE II;SAO CRISTOVAO;64052-345;GASOLINA ADITIVADA;30/03/2026;6,79;;R$ / litro;IPIRANGA
NE;PI;TERESINA;COMPANHIA BRASILEIRA DE DISTRIBUICAO; 47.508.411/1563-26;AVENIDA PRESIDENTE KENNEDY;501;PARTE II;SAO CRISTOVAO;64052-345;ETANOL;30/03/2026;4,99;;R$ / litro;IPIRANGA
NE;PI;TERESINA;IGUATEMI DISTRIBUIDORA LTDA; 03.072.068/0002-55;AVENIDA DOM SEVERINO;1498;;FATIMA;64049-375;GASOLINA;30/03/2026;6,59;;R$ / litro;BRANCA
NE;PI;TERESINA;IGUATEMI DISTRIBUIDORA LTDA; 03.072.068/0002-55;AVENIDA DOM SEVERINO;1498;;FATIMA;64049-375;GASOLINA ADITIVADA;30/03/2026;6,61;;R$ / litro;BRANCA
